,0,1,2,3,4,5,6,7,8,9
0,60.0,19.0,716.0,540.0,0.0,44.0,2354.0,35.0,2063.0,92.0
1,49.0,1598.0,56.0,1285.0,2.0,476.0,387.0,224.0,2665.0,0.0
2,17.0,141.0,2511.0,148.0,1.0,47.0,443.0,38.0,2334.0,278.0
3,12.0,21.0,221.0,3020.0,0.0,394.0,485.0,169.0,1754.0,55.0
4,1438.0,214.0,409.0,105.0,43.0,559.0,403.0,180.0,1379.0,1112.0
5,98.0,127.0,467.0,1278.0,2.0,820.0,536.0,38.0,2014.0,41.0
6,63.0,64.0,764.0,264.0,5.0,75.0,2757.0,16.0,1807.0,103.0
7,988.0,114.0,39.0,342.0,13.0,252.0,393.0,430.0,3314.0,380.0
8,59.0,32.0,213.0,280.0,2.0,284.0,209.0,51.0,4565.0,156.0
9,1117.0,97.0,50.0,190.0,4.0,985.0,195.0,102.0,2276.0,933.0
