,0,1,2,3,4,5,6,7,8,9
0,434.0,724.0,42.0,2147.0,328.0,32.0,2066.0,6.0,61.0,83.0
1,0.0,3404.0,1243.0,164.0,84.0,0.0,1513.0,0.0,21.0,313.0
2,3.0,226.0,2313.0,450.0,254.0,75.0,2332.0,1.0,62.0,242.0
3,2.0,868.0,842.0,2545.0,16.0,12.0,1752.0,3.0,41.0,50.0
4,21.0,655.0,1100.0,69.0,608.0,38.0,1865.0,0.0,77.0,1409.0
5,31.0,1290.0,300.0,560.0,33.0,405.0,2521.0,30.0,49.0,202.0
6,38.0,74.0,118.0,12.0,32.0,3.0,5478.0,0.0,38.0,125.0
7,11.0,1129.0,498.0,1259.0,152.0,64.0,1990.0,365.0,33.0,764.0
8,25.0,385.0,551.0,457.0,112.0,120.0,3233.0,10.0,747.0,211.0
9,54.0,492.0,511.0,180.0,158.0,85.0,2743.0,6.0,42.0,1678.0
